id,name,series,printedTotal,total,legalities,ptcgoCode,releaseDate,updatedAt,symbol,logo
bp,Best of Game,Other,9,9,unlimited,BP,2002/12/01,2021/10/16 09:52:00,https://images.pokemontcg.io/bp/symbol.png,https://images.pokemontcg.io/bp/logo.png
swsh8,Fusion Strike,Sword & Shield,264,284,"unlimited, standard, expanded",FST,2021/11/12,2021/11/12 07:32:00,https://images.pokemontcg.io/swsh8/symbol.png,https://images.pokemontcg.io/swsh8/logo.png
fut20,Pokémon Futsal Collection,Other,5,5,"unlimited, standard, expanded",FUT20,2020/09/11,2022/10/10 15:12:00,https://images.pokemontcg.io/fut20/symbol.png,https://images.pokemontcg.io/fut20/logo.png
tk1a,EX Trainer Kit Latias,EX,10,10,unlimited,,2004/06/01,2022/01/13 20:44:00,https://images.pokemontcg.io/tk1a/symbol.png,https://images.pokemontcg.io/tk1a/logo.png
tk1b,EX Trainer Kit Latios,EX,10,10,unlimited,,2004/06/01,2022/01/13 20:44:00,https://images.pokemontcg.io/tk1b/symbol.png,https://images.pokemontcg.io/tk1b/logo.png
tk2a,EX Trainer Kit 2 Plusle,EX,12,12,unlimited,,2006/03/01,2022/01/13 20:44:00,https://images.pokemontcg.io/tk2a/symbol.png,https://images.pokemontcg.io/tk2a/logo.png
tk2b,EX Trainer Kit 2 Minun,EX,12,12,unlimited,,2006/03/01,2022/01/13 20:44:00,https://images.pokemontcg.io/tk2b/symbol.png,https://images.pokemontcg.io/tk2b/logo.png
swsh9,Brilliant Stars,Sword & Shield,172,186,"unlimited, standard, expanded",BRS,2022/02/25,2022/02/23 09:45:00,https://images.pokemontcg.io/swsh9/symbol.png,https://images.pokemontcg.io/swsh9/logo.png
swsh9tg,Brilliant Stars Trainer Gallery,Sword & Shield,30,30,"unlimited, standard, expanded",BRS,2022/02/25,2022/02/23 09:45:00,https://images.pokemontcg.io/swsh9tg/symbol.png,https://images.pokemontcg.io/swsh9tg/logo.png
swsh10,Astral Radiance,Sword & Shield,189,216,"unlimited, standard, expanded",ASR,2022/05/27,2022/05/27 09:45:00,https://images.pokemontcg.io/swsh10/symbol.png,https://images.pokemontcg.io/swsh10/logo.png
swsh10tg,Astral Radiance Trainer Gallery,Sword & Shield,30,30,"unlimited, standard, expanded",ASR,2022/05/27,2022/05/27 09:45:00,https://images.pokemontcg.io/swsh10tg/symbol.png,https://images.pokemontcg.io/swsh10tg/logo.png
pgo,Pokémon GO,Sword & Shield,78,88,"unlimited, standard, expanded",PGO,2022/07/01,2022/07/06 17:07:00,https://images.pokemontcg.io/pgo/symbol.png,https://images.pokemontcg.io/pgo/logo.png
swsh11,Lost Origin,Sword & Shield,196,217,"unlimited, standard, expanded",LOR,2022/09/09,2022/09/09 13:45:00,https://images.pokemontcg.io/swsh11/symbol.png,https://images.pokemontcg.io/swsh11/logo.png
swsh11tg,Lost Origin Trainer Gallery,Sword & Shield,30,30,"unlimited, standard, expanded",LOR,2022/09/09,2022/09/09 13:45:00,https://images.pokemontcg.io/swsh11tg/symbol.png,https://images.pokemontcg.io/swsh11tg/logo.png
swsh12,Silver Tempest,Sword & Shield,195,215,"unlimited, standard, expanded",SIT,2022/11/11,2022/09/09 11:45:00,https://images.pokemontcg.io/swsh12/symbol.png,https://images.pokemontcg.io/swsh12/logo.png
swsh12tg,Silver Tempest Trainer Gallery,Sword & Shield,30,30,"unlimited, standard, expanded",SIT,2022/11/11,2022/11/11 11:45:00,https://images.pokemontcg.io/swsh12tg/symbol.png,https://images.pokemontcg.io/swsh12tg/logo.png
mcd22,McDonald's Collection 2022,Other,15,15,"unlimited, expanded, standard",,2022/08/03,2022/10/09 13:21:00,https://images.pokemontcg.io/mcd22/symbol.png,https://images.pokemontcg.io/mcd22/logo.png
swsh12pt5,Crown Zenith,Sword & Shield,159,160,"unlimited, standard, expanded",CRZ,2023/01/20,2023/01/19 15:45:00,https://images.pokemontcg.io/swsh12pt5/symbol.png,https://images.pokemontcg.io/swsh12pt5/logo.png
swsh12pt5gg,Crown Zenith Galarian Gallery,Sword & Shield,70,70,"unlimited, standard, expanded",CRZ,2023/01/20,2023/01/19 15:45:00,https://images.pokemontcg.io/swsh12pt5gg/symbol.png,https://images.pokemontcg.io/swsh12pt5gg/logo.png
sv1,Scarlet & Violet,Scarlet & Violet,198,258,"unlimited, standard, expanded",SVI,2023/03/31,2023/03/31 15:45:00,https://images.pokemontcg.io/sv1/symbol.png,https://images.pokemontcg.io/sv1/logo.png
svp,Scarlet & Violet Black Star Promos,Scarlet & Violet,102,75,"unlimited, standard, expanded",PR-SV,2023/01/01,2023/12/11 23:15:00,https://images.pokemontcg.io/svp/symbol.png,https://images.pokemontcg.io/svp/logo.png
sv2,Paldea Evolved,Scarlet & Violet,193,279,"unlimited, standard, expanded",PAL,2023/06/09,2023/06/09 15:00:00,https://images.pokemontcg.io/sv2/symbol.png,https://images.pokemontcg.io/sv2/logo.png
sve,Scarlet & Violet Energies,Scarlet & Violet,8,8,"unlimited, standard, expanded",SVE,2023/03/31,2023/07/20 15:45:00,https://images.pokemontcg.io/sve/symbol.png,https://images.pokemontcg.io/sve/logo.png
sv3,Obsidian Flames,Scarlet & Violet,197,230,"unlimited, standard, expanded",OBF,2023/08/11,2023/08/11 15:00:00,https://images.pokemontcg.io/sv3/symbol.png,https://images.pokemontcg.io/sv3/logo.png
sv3pt5,151,Scarlet & Violet,165,207,"unlimited, standard, expanded",MEW,2023/09/22,2023/09/22 15:00:00,https://images.pokemontcg.io/sv3pt5/symbol.png,https://images.pokemontcg.io/sv3pt5/logo.png
sv4,Paradox Rift,Scarlet & Violet,182,266,"unlimited, standard, expanded",PAR,2023/11/03,2023/11/03 15:00:00,https://images.pokemontcg.io/sv4/symbol.png,https://images.pokemontcg.io/sv4/logo.png
sv4pt5,Paldean Fates,Scarlet & Violet,91,245,"unlimited, standard, expanded",PAF,2024/01/26,2024/01/25 15:00:00,https://images.pokemontcg.io/sv4pt5/symbol.png,https://images.pokemontcg.io/sv4pt5/logo.png
sv5,Temporal Forces,Scarlet & Violet,162,218,"unlimited, standard, expanded",TEF,2024/03/22,2024/03/22 15:00:00,https://images.pokemontcg.io/sv5/symbol.png,https://images.pokemontcg.io/sv5/logo.png
sv6,Twilight Masquerade,Scarlet & Violet,167,226,"unlimited, standard, expanded",TWM,2024/05/24,2024/05/23 15:00:00,https://images.pokemontcg.io/sv6/symbol.png,https://images.pokemontcg.io/sv6/logo.png
