id,name,series,printedTotal,total,legalities,ptcgoCode,releaseDate,updatedAt,symbol,logo
neo4,Neo Destiny,Neo,105,113,unlimited,N4,2002/02/28,2020/09/25 10:09:00,https://images.pokemontcg.io/neo4/symbol.png,https://images.pokemontcg.io/neo4/logo.png
base6,Legendary Collection,Other,110,110,unlimited,LC,2002/05/24,2020/08/14 09:35:00,https://images.pokemontcg.io/base6/symbol.png,https://images.pokemontcg.io/base6/logo.png
ecard1,Expedition Base Set,E-Card,165,165,unlimited,EX,2002/09/15,2022/10/10 15:12:00,https://images.pokemontcg.io/ecard1/symbol.png,https://images.pokemontcg.io/ecard1/logo.png
ecard2,Aquapolis,E-Card,147,182,unlimited,AQ,2003/01/15,2020/08/14 09:35:00,https://images.pokemontcg.io/ecard2/symbol.png,https://images.pokemontcg.io/ecard2/logo.png
ecard3,Skyridge,E-Card,144,182,unlimited,SK,2003/05/12,2020/08/14 09:35:00,https://images.pokemontcg.io/ecard3/symbol.png,https://images.pokemontcg.io/ecard3/logo.png
ex1,Ruby & Sapphire,EX,109,109,unlimited,RS,2003/07/01,2018/03/04 10:35:00,https://images.pokemontcg.io/ex1/symbol.png,https://images.pokemontcg.io/ex1/logo.png
ex2,Sandstorm,EX,100,100,unlimited,SS,2003/09/18,2018/03/04 10:35:00,https://images.pokemontcg.io/ex2/symbol.png,https://images.pokemontcg.io/ex2/logo.png
ex3,Dragon,EX,97,100,unlimited,DR,2003/11/24,2023/02/16 05:47:00,https://images.pokemontcg.io/ex3/symbol.png,https://images.pokemontcg.io/ex3/logo.png
np,Nintendo Black Star Promos,NP,40,40,unlimited,PR-NP,2003/10/01,2020/05/01 16:06:00,https://images.pokemontcg.io/np/symbol.png,https://images.pokemontcg.io/np/logo.png
ex4,Team Magma vs Team Aqua,EX,95,97,unlimited,MA,2004/03/01,2019/01/28 16:44:00,https://images.pokemontcg.io/ex4/symbol.png,https://images.pokemontcg.io/ex4/logo.png
ex5,Hidden Legends,EX,101,102,unlimited,HL,2004/06/01,2019/01/28 16:44:00,https://images.pokemontcg.io/ex5/symbol.png,https://images.pokemontcg.io/ex5/logo.png
ex6,FireRed & LeafGreen,EX,112,116,unlimited,RG,2004/09/01,2019/01/28 16:44:00,https://images.pokemontcg.io/ex6/symbol.png,https://images.pokemontcg.io/ex6/logo.png
pop1,POP Series 1,POP,17,17,unlimited,,2004/09/01,2018/03/04 10:35:00,https://images.pokemontcg.io/pop1/symbol.png,https://images.pokemontcg.io/pop1/logo.png
ex7,Team Rocket Returns,EX,109,111,unlimited,TRR,2004/11/01,2019/01/28 16:44:00,https://images.pokemontcg.io/ex7/symbol.png,https://images.pokemontcg.io/ex7/logo.png
ex8,Deoxys,EX,107,108,unlimited,DX,2005/02/01,2019/01/28 16:44:00,https://images.pokemontcg.io/ex8/symbol.png,https://images.pokemontcg.io/ex8/logo.png
